title,short_description,price
"Lenovo V530 54.6 cm (21.5"") 1920 x 1080 pixels 8th gen Intel® Core™ i3 4 GB DDR4-SDRAM 128 GB SSD Wi-Fi 5 (802.11ac) Black All-in-One PC","Intel Core i3-8100T (6MB Cache, 3.1GHz), 4GB DDR4-SDRAM, 128GB SSD, 54.6 cm (21.5"") Full HD 1920 x 1080 IPS, DVD±RW, Intel UHD Graphics 630, LAN, WLAN, Bluetooth, Webcam, No OS",
StarTech.com 6 ft Straight Through Serial Cable - DB9 F/F,StarTech.com 6 ft Straight Through Serial Cable - DB9 F/F,844.0
Multibrackets M Wallmount Pro MBW3x2UP Push In Pop Out Black,"M Wallmount Pro MBW3x2U Push In Pop Out Black - Wall mount for LCD display, steel, 6 screens, single side, adjustable, VESA Max 400x400 - screen size: 32""-55"" - black",
Philips ExtremeLife Battery LR03EB8A/10,"1.5V, Ultra Alkaline, AAA, Shelf Life 7 Years, PET Blister",
"Sony 5.25” Magneto-Optical Disc, 2,636MB magneto optical disk 13.3 cm (5.25"")","5.25” Magneto-Optical Disc, 2,636MB",
Samsung SE-S084B optical disc drive Black,DVD+-R RW DL USB 2.0,
"HP OMEN 17-cb1003nt Notebook Black 43.9 cm (17.3"") 1920 x 1080 pixels 10th gen Intel® Core™ i5 8 GB DDR4-SDRAM 512 GB SSD NVIDIA® GeForce RTX™ 2060 Wi-Fi 6 (802.11ax) Windows 10 Home","Intel Core i5-10300H (8MB Cache, 2.5GHz), 8GB DDR4-SDRAM, 512GB SSD, 43.9 cm (17.3"") Full HD 1920 x 1080 IPS, Intel UHD Graphics, NVIDIA GeForce RTX 2060 (6GB GDDR6), LAN, WLAN, HP Wide Vision HD, Windows 10 Home 64-bit",
"Canon PowerShot G11 Compact camera 10 MP CCD 3648 x 2736 pixels 1/1.7"" Black","PowerShot G11 - 10.0 MP CCD, 2.8” LCD, DIGIC 4, IS, i-Contrast, HDMI",
HP AMD Opteron Quad-Core Model 2380 processor 2.5 GHz Box,"AMD Opteron processor Quad-Core Model 2380 (2.5 GHz, 75W ACP), FIO",
C2G 100ft Cat5E 350MHz Snagless Patch Cable networking cable 30.5 m Yellow,100ft Cat5E 350MHz Snagless Patch Cable Yellow,2495.0
"Xerox 128MB Memory Option, Phaser 3150, PE120 memory module DRAM","128MB Memory Option, Phaser 3150, PE120",
MSI P45 NEO2-FR motherboard LGA 775 (Socket T) ATX,"P45 NEO2-FR - S-775 Intel Core 2 Extreme/Core 2 Quad/Core 2 Duo, FSB 1600(OC)/1333/1066/800, 4 x DDR2 800/1066(OC), 8 x SATA2 RAID, 2 x PCI-E 2.0, Gb Lan, ATX Mainboard Retail",
Epson EMP-W5D,Ideal for multimedia teaching,
"Acer Trolley Case Prestige 11.6'' - 15.4'' notebook case 43.2 cm (17"")",Trolley Case Prestige 11.6'' - 15.4'',
Zyxel ALC1248G-51 network switch component,ALC1248G-51 Hot swappable 48-port ADSL2/ADSL2+ Annex A line card,
"Xerox Professional Bookletmaker Finisher (Fold, 4 Hole Punch, Stacker/ Stapler), 1500 Sheets, 220V","Professional Bookletmaker Finisher (Fold, 4 Hole Punch, Stacker/ Stapler), 1500 Sheets, 220V",
"AOC 919P2+ computer monitor 48.3 cm (19"") 1280 x 1024 pixels Black","Professional Square 19"" TN 1280x1024, 4:3, 300cd/m2, 60000:1, 2ms",
OKI ES2632a4 Colour 600 x 1200 DPI A4,"ES2632a4, COLOR 26ppm, 32 ppm MONO, 1200x600 dpi, 256MB RAM, PCL5c, PostScript 3, IBM Proprinter, Epson FX, 400MHz, Fast Ethernet, USB, Duplex, Photo Mode & RAINBOW KIT 6K/5CMY",
Samsung HM1000 Headset Ear-hook White,HM1000 Bluetooth Headset White,
APC Smart-UPS 2200VA uninterruptible power supply (UPS) 1600 W,"APC Smart-UPS, 2200VA/1600W, 230V/230V, Interface Port DB-9 RS-232, SmartSlot",
Fujitsu Service Pack On-Site Service 4 years 4h 5x9 for ETERNUS DX60 BaseUnit,,
NEC PX-61ST1U Brown,Basic Desktop Stand Unit 61XM PX-61ST1U,
"Acer Aspire 7745 43.9 cm (17.3"") 1600 x 900 pixels 4th gen Intel® Core™ i5 4 GB DDR3-SDRAM 1000 GB AMD Mobility Radeon HD 5650 Windows 7 Home Premium",,
"Lenovo 3000 C100 Intel Pentium M 740 38.1 cm (15"") 1024 x 768 pixels 0.5 GB DDR2-SDRAM 80 GB Intel® GMA 900 Windows XP Professional","Intel Pentium M 740(1.73GHz), 512MB RAM, 80GB 5400rpm HDD, 15in 1024x768 LCD, Intel 900, CDRW/DVD, Intel 802.11abg wireless, Bluetooth/Modem, 10/100 Ethernet, touch pad, 8 cell Li-Ion batt, WinXP Pro",
Princess 212014 Classic Compact Blender,Classic Compact Blender,
"MSI Gaming GL75 9SE-078XFR Notebook Black 43.9 cm (17.3"") 1920 x 1080 pixels 9th gen Intel® Core™ i7 16 GB DDR4-SDRAM 1256 GB HDD+SSD NVIDIA® GeForce RTX™ 2060 Wi-Fi 5 (802.11ac)",,
HP iPAQ 914c Business Messenger handheld mobile computer,,
HP Intel Xeon W5590 processor 3.33 GHz 8 MB L3,"Intel Xeon W5590 (3.33 GHz), 8M Cache, 6.40 GT/s",85295.0
Kodak Alaris C1025171-5-AUR maintenance/support fee 3 year(s),"Supportbox for E1035, 60 Months, Exchange Service, NBD",
"Xerox Magenta High-Capacity Toner Cartridge, P",Magenta High-Capacity Toner Cartridge,
HP 1y PW Nbd + DMR LsrJt 9040/50MFP Supp,HP 1y PW Nbd + DMR LsrJt 9040/50MFP Supp,
"Acer eMachines G630-303G25i 43.9 cm (17.3"") 1600 x 900 pixels AMD Athlon 3 GB DDR2-SDRAM 320 GB AMD Radeon HD 4200 Windows 7 Home Premium","Genuine Windows® 7 Home Premium , Intel Athlon 64 X2, 17.3"", 2GB memory, 1GB RAM, 320GB(5.4k) HDD, DVD-SuperMulti, ATI Radeon™ HD 4200, 0.3M webcam, 6 Cell battery",
"Philips PET729/37 portable DVD/Blu-Ray player Black 17.8 cm (7"") 480 x 234 pixels","Portable, DVD/CD, 7"" TFT LCD (480 x 234, 16:9), 1 x Composite, 1 x 3.5mm Stereo, 1x F-type, 250mW RMS",19295.0
Sony SDX3-100C,AIT3 Cartridge 100 260GB 230m single pack,
"Conceptronic Grab'n'GO 3.5” Multi Media Recorder&Player, 320GB digital media player Black",Multi Media Recorder&Player 320GB,
HP 3 year Care Pack w/Next Day Exchange for Single Function Printers,HP Care Pack Next Day Exchange Hardware Support - Contrat de maintenance prolong,
"Fujitsu Service Pack, 4Y, on-site, NBD, 5x9","Service Pack, 4Y, on-site, NBD, 5x9",
"Lenovo ThinkPad T60 (2007GBG), SE 35.8 cm (14.1"") 1400 x 1050 pixels Intel® Core™ Duo 1 GB DDR2-SDRAM 80 GB AMD Mobility Radeon X1400 Windows XP Professional","ThinkPad T60 (2007-GBG), Intel Core Duo T2500, 1024MB DDR2 RAM, 80GB SATA HDD, Combo ODD, 14.1"" SXGA+ TFT, FPR, Windows XP Pro",
"Samsung Galaxy SM-A516B 16.5 cm (6.5"") 6 GB 128 GB 5G USB Type-C Pink 4500 mAh","6.5"" 1080 x 2400 Super AMOLED, 5G, 2.2 GHz + 1.8 GHz Octa-Core, 48.0 MP + 12.0 MP + 5.0 MP + 5.0 MP, 32.0 MP, NFC, Android",
HP Hot Plug AC Redundant Power Supply Module (IEC cord) (WW),HP SPARE HOT PLUG REDUNDANTE PSM VOOR PROLIANT DL380R03,
"Dynabook Satellite Pro R50-C-107 Notebook Graphite 39.6 cm (15.6"") 1366 x 768 pixels 5th gen Intel® Core™ i3 4 GB DDR3L-SDRAM 500 GB HDD Wi-Fi 5 (802.11ac) Windows 8.1","15.6"" HD, Intel Core i3-5005U, 4 GB DDR3L, 500 GB HDD SATA, DVD-DL, Intel HD Graphics 5500, HD Web, Wi-Fi, Bluetooth, RJ-45, HDMI, RGB, USB 3.0, 2.1 kg, Windows 8.1",
"Acer eMachines E520-582G16Mi 39.1 cm (15.4"") 1280 x 800 pixels Intel® Celeron® M 2 GB DDR2-SDRAM 160 GB Intel® GMA 4500M Windows Vista Home Basic",,
"HP 550 39.1 cm (15.4"") 1280 x 800 pixels Intel® Celeron® M 1 GB DDR2-SDRAM 160 GB Intel® GMA X3100 Windows Vista Home Basic","Intel Celeron M 550 (2.0GHz, 1MB L2, 533MHz), 15.4"" (1280 x 800) WXGA BrightView, 1 x 1024MB DDR2, 160GB 5400 rpm, DVD+/–RW SuperMulti DL LightScribe, Intel GMA X3100, Broadcom 802.11 b/g, Windows Vista Home Basic 32-bit",
Epson EB-X6 Multimedia projector,"EB-X6, LCD, 2200 ANSI lumens, XGA (1024 x 768), 4:3",
"Acer Aspire 5738DG-664G32MN 39.6 cm (15.6"") 1366 x 768 pixels Intel® Core™2 Duo 4 GB DDR2-SDRAM 320 GB AMD Mobility Radeon HD 4570 Windows 7 Home Premium","Intel® Core™2 Duo processor T6600 (2.2GHz/FSB: 800MHz/2MB L2 cache), Microsoft® Windows® 7 Home Premium 64-bit, Works™ + Office™ Home & Student 2007 Trial         (60 days), 15.6"" WXGA High Definition 1366x768 pixel resolution, high-brightness (220-nit) Acer CineCrystal™ TFT LCD with Cinereal 3D solution (3D glasses included), 16:9 aspect ratio, 4GB DDR2         RAM (2x 2GB), 320GB HDD (5400rpm), Super Multi DVD-RW Dual Layer, Numeric Keypad, 6-cell, Wired & Wireless Lan 802.11N, ATI Mobility Radeon™ HD4570 512MB DDR3, HDMI, 5-in-1 card reader, 0.3MP CrystalEye",
Netgear RangeMax™ NEXT Wireless Notebook Adapter 270 Mbit/s,RangeMax NEXT NOTEBOOK adapter,
Allied Telesis AT-9000/28SP Managed L2,"AT-9000/28SP Managed Gigabit ECO Ethernet Switch, 4x Combo / 24x SFP",
Canon PIXMA MP600 Inkjet 9600 x 2400 DPI 14.8 ppm A4,"PIXMA MP600 Multifunction, Inkjet, 30 ppm, 24 ppm, 9600 x 2400 dpi",
HP rp rp5700 Point of Sale System 1.8 GHz E2160,"Intel Pentium Dual-Core E2160 (1.80GHz, 1MB L2, 800MHz), 1 x 1GB PC2-5300 (DDR2-667), 160GB SATA 7200 rpm, SATA 16X SuperMulti LightScribe, Intel GMA 3000, Windows Embedded POSReady",
Fujitsu SLIM MF (SL/HR/S) keyboard USB,Keyboard SLIM MF Silver/Black (H),
Philips Multimedia Speakers 2.0 SPA2201/10,Multimedia Speakers 2.0,3995.0
Newstar NSUSB124HT interface hub 480 Mbit/s Black,"USB 2.0 hub, 4-port",
C2G 30m Cat5e Patch Cable networking cable,30m Cat5e 350MHz Snagless Patch Cable Brown,
C2G 2m Velocity Digital Audio Coax Cable composite video cable RCA Black,2m Velocity Digital Audio Coax Cable,3245.0
"Fujitsu Service Pack, 3Y, on-site, NBD, 5x9","Service Pack, 3Y, on-site, NBD, 5x9",
Epson Extension P04,Extension P04,
"Acer Aspire 5710-4A2G12MI 39.1 cm (15.4"") 1280 x 800 pixels Intel® Core™ Duo 2 GB DDR2-SDRAM 120 GB NVIDIA® GeForce® Go 7300 Windows Vista Home Premium",,
Xerox 003R97682 printing paper Super-gloss,COLOTECH SUPERGLOSS GEN3 210 g/m².  A4 WHITE. 125 Sheets,
"Lenovo 3000 C200 38.1 cm (15"") 1024 x 768 pixels Intel® Core™ Duo 1 GB DDR2-SDRAM 80 GB Intel® GMA 950 Windows Vista Home Basic","Lenovo 3000 C200, Intel Core Duo T2250(1.73GHz), 1GB RAM, 80GB 5400rpm HD, 15in 1024x768 LCD, Intel 950, CDRW/DVDRW, Intel 802.11abg wireless, Modem, 10/100 Ethernet, touch pad, IEEE 1394, 6c Li-Ion, WinVista Home Basic",
"HP Designjet 800 Hardware Support, NBD, 1Y","Designjet 800 Hardware Support, NBD, 1Y",
"NEC MultiSync EA241WM 61 cm (24"") 1920 x 1200 pixels White","EA241WM  24"" LCD 1920X1200, 16:10, 5MS, 1000:1",
Philips Remote Control SRP620/10,Puts you back in charge of your TV.,
"HP Compaq nx9420 Intel Core™ Duo Processor T2400 1024M/100GB 17"" TFT WXGA+ DVD+/-RW DL Fixed WXP Pro Notebook PC 43.2 cm (17"") Intel® Core™ Duo 1 GB DDR2-SDRAM AMD Mobility Radeon X1600 Windows XP Professional",HP Compaq nx9420 business notebook pc,
"Sandberg LUX-LINE, S-Video M-M 5 m","LUX-LINE, S-Video M-M 5 m",
C2G DVI-A / HD15 VGA Adapter HD15 M Blue,DVI-A Female to HD15 VGA Male Video Adapter,
HP 3y 6h CTR ProLiant HW Support,"3-year, 6-hour Call-To-Repair (CTR) hardware support",
"Fujitsu Service Pack On-Site Service, 4 Jahre, 4h, 5x9",,
Kingston Technology System Specific Memory 2GB DDR2-800 CL5 DIMM memory module 800 MHz,System Specific,
"Acer Notebook TravelMate 243LCe 38.1 cm (15"") 1024 x 768 pixels Intel® Celeron® 0.25 GB 30 GB","Intel Cel 2.5GHz,15.0"" XGA TFT display, 30GB HDD, 256MB DDR, 56Kbps,LAN 10/100, DVD-CDRW Combo, Li-Ion battery",
Intel E10G41BFLR networking card 10000 Mbit/s,Ethernet Server Adapter X520-LR1,80795.0
"LG 55LE5300 TV 139.7 cm (55"") Full HD Black","55LE5300 - 55"" LED Full HD, 1920 x 1080, 3000000:1 (Contrast dyn.), 16:9 (Aspect ratio), 100Hz, DVB-C(HD), DVB-T, 4 x HDMI, 1 x USB, 1 x VGA, VESA 300mm x 300mm, black",
"Epson SIDM Single Sheet Feeder 50 sheets for FX-890/A, LX/LQ-300+II, LQ-590","SIDM Single Sheet Feeder 50 sheets for FX-890/A, LX/LQ-300 II, LQ-590",9895.0
Fujitsu ETERNUS DX DX80,"ETERNUS DX80 - 1.2TB (4x 300GB) SAS HDD 15000rpm, 1.2GHz CPU, 1GB Cache, Gigabit Ethernet, Rack 2U",
Epson Premium Glossy Photo Paper - 10x15cm - 40 Sheets,Premium Glossy Photo Paper - 10x15cm - 40 Sheets,1995.0
Philips SA1110 1GB* Flash audio player,1GB Flash Audio Player,2495.0
Fujitsu ServicePack 3 Years On-site Esprimo 2500/ 2510/ 2410,,
Fujitsu Service Pack 3 Years,,
"ASUS 10"" EeePC Black Sleeve notebook case 25.4 cm (10"") Sleeve case","10"" EeePC Black Sleeve",
ACT CAT5E UTP cross-over (IB3101) 1m networking cable Yellow,CAT5E UTP cross-over patchcable yellow with black connectors Length: 1m,
"Philips SPS1537WA/17 power extension 2 m 8 AC outlet(s) Black,Yellow","Power extension, 8 outlets, 2m, 845g",
"Lenovo ThinkPad X61s 30.7 cm (12.1"") 1024 x 768 pixels Intel® Core™2 Duo 2 GB DDR2-SDRAM 160 GB Intel® GMA X3100 Windows Vista Business","ThinkPad X61s 7666 - Intel Core 2 Duo L7500 / 1.6 GHz LV, 12.1"" TFT 1024 x 768 ( XGA ), 2GB DDR2, 160 GB SATA HDD, Intel GMA X3100, Gigabit Ethernet, Bluetooth, 802.11 a/b/g, WWAN, TPM + FingerPrint, Windows Vista Business",
HEISSNER 001101-00 garden pond/fountain part Decorative statue Multicolor Plastic 1500 l/h,,
OKI Drum Cartridge - Black - 39000 Pages Original,"Black Image Drum for C9300/C9500 Series ""Type C5""",
Princess 509200 Style Hairdryer,,
"LG 32LC56 TV 81.3 cm (32"") HD Black","32"" LCD TV HD Ready Dual HDMI",
Xerox WorkCentre 5020V/U Laser 600 x 600 DPI 20 ppm A3,Digital Copier/Printer 5020 Imaging Module with DADF,
OKI Colour printer C9800hdn 1200 x 1200 dpi A4 1 GB 36 / 40 ppm A3,OKI Colour printer C9800hdn 1200 x 1200 dpi A4 1 GB 36 / 40 ppm Integrated duplex unit for double-sided printing as standard,
Samsung GX HX-MU050DC external hard drive 500 GB Silver,"HDD HX-MU050DC, G2 Portable external hard drive, 6.4cm (2.5''), 500GB, Hi-Speed USB, Silver White, Retail",
APC 1 Year Best Endeavor Response On-Site Service,"1 Year Best Endeavor Response On-Site Service for SY RM 6-8kVASY, TWR4-8kVA",
Canon CLC700 Toner - Yellow Original,CLC700 Toner - Yellow,1495.0
Lexmark X560DN Color Laser Printer Colour 600 x 600 DPI A4,X560DN Color Laser Printer,
"be quiet! Silent Wings, 80x80x25mm, Low Noise Black","Silent Wings, 80x80x25mm, Low Noise",
C2G 5ft Assembled Cat5E Crossover networking cable 1.5 m Gray,5ft Assembled Cat5E Crossover,795.0
"Acer Aspire 8930G-944G64BN 46.7 cm (18.4"") 1920 x 1080 pixels Intel® Core™2 Duo 4 GB DDR3-SDRAM NVIDIA GeForce 9700M GT Windows Vista Ultimate","Legitimate Windows Vista® Ultimate, Intel® Core™2 Duo processor T9400 (2.53GHz/FSB:1066MHz/6MB L2 cache), Works™ 8.5 + Office™ Home & Student 2007 Trial (60 days), 18,4"" TFT WUXGA+ Full High Definition CineCrystal Dual Lamp 16:9 aspect ratio, 4GB DDR3 RAM (2x2GB), 640GB HDD (2x320GB) (7200rpm), Blu-ray read (DVD Double Layer write), 8-cell Li-ion, 56K modem, Gigabit & Wireless LAN 802.11a/b/g/n, Bluetooth®, HDMI, NVIDIA® GeForce® 9700M-GT 512MB/1280MB TC DDR3, FingerPrint, 1.0MP High Definition CrystalEye, 6-in-1 card reader, Numeric Keypad, CineDash Media Console, Tuba CineBass Booster, Gemstone Blue Performance, AZB",
MSI P41-C31 LGA 775 (Socket T) ATX,"P41-C31 - 775, DDR3, Intel G41+ICH7, Ethernet, ATX",
"Kingston Technology System Specific Memory 512MB, DIMM 168-pin SDRAM, 120 MHz, 3.3 V, ECC for VISUALISE UNIX memory module 0.5 GB",System Specific,
Xerox 006R90223 toner cartridge Original Black 2 pc(s),006R90223 Toner Laser Black - 2 Pack,
Lexmark 2351519P warranty/support extension,,
MSI Prestige PE130 9SA-081XEU 9th gen Intel® Core™ i5 i5-9400F 8 GB DDR4-SDRAM 1256 GB HDD+SSD Desktop White PC,"Intel Core i5-9400F (9MB Cache, 2.9GHz), 8GB DDR4-SDRAM, 1000GB HDD, 256GB SSD, NVIDIA GeForce GTX 1650 (4GB GDDR5), LAN, No OS",
"HP Compaq nx7400 Intel Celeron Processor M430 512M/60G 15.4"" WXGA DVD+/-RW DL WXP Home Notebook PC 39.1 cm (15.4"") 1280 x 800 pixels Intel® Celeron® M 0.5 GB DDR2-SDRAM 60 GB Intel® GMA 950 Windows XP Home Edition",Compaq nx7400 Business notebook pc (RH388ET),
"NEC LCD1701 17"" TFT .26 80kHz TCO03 Ivory 43.2 cm (17"") 1280 x 1024 pixels","LCD1701 17"" TN + Film TFT 1280x1024 mini D-sub internal adaptor TCO03 Ivory",
Hotpoint MTP 1912 F/HA fridge-freezer Freestanding Silver,,
"Acer Extensa 5220-101G12Mi 39.1 cm (15.4"") 1280 x 800 pixels Intel® Celeron® M 1 GB DDR2-SDRAM 120 GB Intel® GMA 3100 Linux",,
Fujitsu Professional KBPC SX DE keyboard PS/2 QWERTZ German,Professional Keyboard KBPC SX DE,
"StarTech.com Cat6 patch cable with snagless RJ45 connectors – 25 ft, blue",StarTech.com 25 ft Blue Gigabit Snagless RJ45 UTP Cat6 Patch Cable - 25ft Patch Cord - 500 MHz 24 AWG Network Cable 25',1195.0
Philips Stereo Y cable SWA2520W/10,Stereo Y cable SWA2520W 3.0 m 3.5 mm (M) - 2 RCA (M),
"Lenovo ThinkPad R51 35.8 cm (14.1"") 1024 x 768 pixels 0.25 GB DDR-SDRAM 30 GB Windows XP Professional","ThinkPad R51, P M 725, 256MB RAM, 30GB 4200rpm HDD, 14.1 XGA(1024x768) TFT LCD, Intel Extreme, 8x-3.3x DVD, Wireless upgradeable(MPCI), Modem(CDC), 10/100 Ethernet(LOM), UltraNav, Secure Chip, 6 cell Li-Ion battery, WinXP Pro",
Samsung S Series S2 Portable 320GB external hard drive White,"S2 Portable, 320Gb, 2.5"", USB 2.0, White",
Kingston Technology System Specific Memory 16GB Kit memory module DDR2 667 MHz,System Specific,66695.0
"Cool Maker , KumiKreator Mermaid and Dream Fashion Pack 2-Pack Refill, Friendship Bracelet and Necklace Activity Kit","Cool Maker, KumiKreator Mermaid and Dream Fashion Pack 2-Pack Refill, Friendship Bracelet and Necklace Activity Kit",2695.0
VTech Baby Dierenpret Game Controller,,
Iomega 200 GB Hi–Speed USB/FireWire external hard drive Silver,200 GB Hi–Speed USB/FireWire,
HP DSS 3.0 Workflow,HP DSS 3.0 Workflow,
HyperX 8GB DataTraveler USB drive (2.0) USB flash drive USB Type-A,System Specific,
"Lenovo ThinkPad P1 Mobile workstation Black 39.6 cm (15.6"") 1920 x 1080 pixels Intel Xeon E 16 GB DDR4-SDRAM 1024 GB SSD Wi-Fi 6 (802.11ax) Windows 10 Pro for Workstations","Intel Xeon E-2276M (12MB Cache, 2.8GHz), 16GB DDR4-SDRAM, 1024GB SSD, 39.6 cm (15.6"") Full HD 1920 x 1080, Intel UHD Graphics P630, WLAN, Bluetooth, Webcam, Windows 10 Pro for Workstations 64-bit",
HP 1y PW 8h9x5 Onsite Desktop Only HWSup,HP 1y PW 8h9x5 Onsite Desktop Only HWSup -1 year of post warranty HW support -8 hour onsite response. 8am-5pm - Standard business days excluding HP holidays,
"Sony VAIO K115Z P4-3.06G 38.1 cm (15"") 1024 x 768 pixels 0.5 GB DDR-SDRAM 60 GB AMD Mobility Radeon 9200",VAIO K115Z P4-3.06G 60GB 512MB 15  DVD+ -RW WXPH L   IN (P4),
Epson Singlepack Light Cyan,Light Cyan Ink Cartridge,5695.0
"Fujitsu Service Pack On-Site Service, 3 Jahre auf 5 Jahre, 5x9 für ESPRIMO C5730, E5730, P5730",,
Allied Telesis High-density 48 port RJ-45 line card network switch component,High-density 48 port RJ-45 line card,
StarTech.com Thermal CPU Paste Compound for Heatsink heat sink compound,Thermal CPU Paste Compound for Heatsink,
Gigabyte GN-WP01GM networking card 54 Mbit/s,GN-WP01GM / PCI / 802.11b/g,
"Acer Aspire 3 A315-54K-541V Notebook Blue 39.6 cm (15.6"") 1366 x 768 pixels 6th gen Intel® Core™ i5 4 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home",,
Fujitsu ServicePack 3-5 years VorOrt,,
"DELL Latitude E7270 Ultrabook Black 31.8 cm (12.5"") 1366 x 768 pixels 6th gen Intel® Core™ i5 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Pro","Intel Core i5-6300U (3MB Cache, 2.4GHz), 8GB DDR4-SDRAM, 256GB SSD, 31.8 cm (12.5"") HD 1366 x 768, Intel HD Graphics 520, LAN, WLAN, Webcam, Windows 10 Pro 64-bit",
D-Link 10-Gigabit XFP Module network switch component,10-Gigabit XFP Module,
Vertiv Avocent AMX5010 KVM switch,16 User x 64 Server Analogue Matrix Switch,
ARCTIC Accelero Xtreme 4870X2 - VGA Cooler for ATI,Accelero XTREME 4870X2,
C2G 3m VGA270 Monitor HD15 M/M VGA cable VGA (D-Sub) Black,3m VGA270 Monitor HD15 M/M,
Sunny Billy Beach Wagon Black,"Billy Beach Wagon (Black), 2+",
"HP 15s-eq1003ns Notebook Gray 39.6 cm (15.6"") 1366 x 768 pixels AMD Athlon Silver 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home","AMD Athlon Silver 3050U (2.3GHz), 8GB DDR4-SDRAM, 256GB SSD, 39.6 cm (15.6"") HD 1366 x 768 SVA, AMD Radeon Graphics, WLAN, HP TrueVision HD, Windows 10 Home 64-bit",
"Da-Lite Cinema Contour projection screen 2.44 m (96"")","Cinema Contour - Cinemascope format, diagonal 96"", surface HC Cinema Perf",
APC NetShelter SX 48U 750mm Wide x 1070mm Deep Enclosure Freestanding rack Black,NetShelter SX 48U 750mm Wide x 1070mm Deep Enclosure,192495.0
ASUS 90-NLF1B1000Y notebook spare part Battery,"Notebook 4 Cell Battery compatible with F5/X50C/X59, 2200mAh, Black",
APC Cat6 Patch Cable 5ft Red networking cable 1.52 m,"Cat 6, up to 550Mhz Patch Cord Molded Snagless Red 568B, 4 Pair",
"Garett Electronics Ada smartwatch IPS 3.3 cm (1.3"") Rose gold",,
Philips AJ100 Clock Radio,"Clock Radio, 110V, 80mW, FM, 800g",2295.0
HP 338 Original Photo black 1 pc(s),338 Black Original Ink Cartridge,3195.0
"Huawei P40 lite E 16.2 cm (6.39"") 4 GB 64 GB Dual SIM 4G Micro-USB Black Android 9.0 Huawei Mobile Services (HMS) 4000 mAh",,18995.0
"Lexmark #41 Color Return Program Print Cartridge Original Cyan, Magenta, yellow 1 Cartridge",#41 Color Return Program Print Cartridge,2295.0
Origin Storage 146Gb 15K Rpm 80-pin SCSI Hot Swap HDD w/caddy 220F,146Gb 15K Rpm 80-pin SCSI Hot Swap HDD w/caddy 220F,26095.0
APC Modular IT Power Distribution Cable 6 m,Modular IT Power Distribution Cable Extender 5 Wire 32A IEC309 600cm,
Acer Aspire M5100 AMD Athlon 5000+ 2 GB DDR2-SDRAM 640 GB Tower PC Windows Vista Home Premium,"AMD Athlon64 X2 5000+, Microsoft® Vista Home Premium (NL/EN) + Game-Bundel, 2x 1GB DDR2 (2x1GB), 640GB(2x320GB), DVD-RW (DL), ATI® 2600 Pro 256/1024MB TGM DDR3 2xDVI HD, 18-in-1 card reader, FireWire, 1Gb LAN, WiFi 54b/g, incl. keyboard & mouse",
Sony Hard Carrying Case LCH-FXA Silver,Hard Carrying Case LCH-FXA,
Fujitsu ServicePack 5 Years,,
Philips shaving heads HQ5/11,Keep a close shave. Change heads every 2 years for the best results. Lift & Cut 1 head.,
Intel PRO/Wireless 2915ABG Network Connection 54 Mbit/s Internal,Intel PRO/Wireless 2915ABG Network Connection,
Fujitsu Service Pack 5 Jahre Vor Ort Service 8h Wiederherstellzeit 5x1,,
TP-LINK TL-PS310U print server White Ethernet LAN,"Single USB2.0 port MFP Print and Storage server, compatible with most of MFP + USB storage devices, 4-port USB hub, POST (Power On Self Test), Firmware upgrade",5795.0
StarTech.com Sun to PS/2 Keyboard Mouse Console Converter Adapter,StarTech.com Sun to PS/2 Keyboard Mouse Console Converter Adapter,7295.0
"Lenovo ThinkPad X60s 30.7 cm (12.1"") 1024 x 768 pixels Intel® Core™ Duo 1 GB DDR2-SDRAM 100 GB Intel® GMA 950 Windows XP Professional","ThinkPad X60s, L2400(1.66GHz), 1GB RAM, 100GB 5400rpm HD, 12.1in 1024x768 LCD, Intel 950, Intel 802.11abg wireless, Bluetooth/Modem, 1Gb Ethernet, Secure chip, IEEE 1394, Fingerprint reader, 4c Li-Ion batt, WinXP Pro",
Xerox 2 years - On-site - Phaser™ 8560MFP,2 Addl Yr Svc; Extended On-Site Service For Total Of 3 Yrs On-Site Service When Combined With Any 1 Yr Warranty. Applicable During 1st 90 Days Of Product Ownership For The 8560MFP Only. Electronic Service Agreement.,
Eaton EBA314-10 power distribution unit (PDU) 40U-A Black 42 AC outlet(s),"Basic, 8.64kW, Three Phase, 42 x C13-grip Out, L21-30P In",
ASUS M4A77D Socket AM3 ATX AMD 770,"M4A77D - AMD AM3/AM2+/AM2, AMD 770/SB710, 4 x DIMM Max. 16 GB DDR2 1200/1066/800/667/533 ECC/Non-ECC, 1 x PCIe x16,  2 x PCIe x1,  3 x PCI, 1 xUltraDMA 133/100/66, 6 xSATA 3 Gb/s, Gigabit LAN, ATX Form Factor",
"Case Logic Reflect REFPC-116 Court notebook case 39.6 cm (15.6"") Sleeve case Yellow","Case Logic Reflect Laptop Sleeve 15.6"", Court",
Xerox Phaser 6360DB: A4 Size Colour Printer,Phaser 6360DB: A4 Size Colour Printer,
Acer TM520 Li-Ion Battery Pack,TM520 Li-Ion Battery Pack,
